,,,,,,,,,,"采购入库明细报表",,,,,,,,,,,
"门店名称:九记·東門口",,,,,,,,,,,,,,,,,,,,,
"查询条件:总部/门店:[九记·東門口;店铺编码：CC000010045,東門口温州店;店铺编码：CS009040522,(闭店)東門口上海中庚漫游城店;店铺编码：CS009040523,東門口桐乡万象汇店;店铺编码：CS009054282,東門口武林店;店铺编码：CS003031459,東門口奥体店;店铺编码：CS003030504,東門口苏州店;店铺编码：CS009039921,(闭店)炎合里中国北方菜;店铺编码：CS011000128,(闭店)炎合里金华永盛购物中心店;店铺编码：CS009035567,東門口远洋店;店铺编码：CS003021468,(闭店)东门口96店;店铺编码：CS003025461,東門口杭州滨江龙湖店;店铺编码：CS009051886,東門口无锡店;店铺编码：CS009050468,焱合里自助火锅文一路店;店铺编码：CS009034590,東門口金华世贸店;店铺编码：CS009037775,京熹顺杭州金沙店;店铺编码：CS009053371,東門口富阳店;店铺编码：CS009049555,東門口上海西郊百联店;店铺编码：CS009050467,巷口锅香文一路店;店铺编码：CS009058665,東門口501店;店铺编码：CS009040508,華門新京菜中国茶(欧美广场EFC店);店铺编码：CS009035566,小蒸娘老杭州萧山蒸菜;店铺编码：CS009057694,東門口啦啦宝都店;店铺编码：CS009040524,京熹顺南京店;店铺编码：CS009053417]; 单据状态:全部; 供应商:全部; 入库仓库:全部; 日期类型:单据业务日期; 日期范围:[""2026-02-01"",""2026-02-28""]; 查询条件:",,,,,,,,,,,,,,,,,,,,,
"店铺名称","单号","单据业务日期","单据操作日期","状态","入库仓库","供应商","原料分类","原料条形码","原料名称","规格","入库单位","入库数量","计价单位","单价(元)","金额(元)","税率(%)","不含税单价(元)","不含税金额(元)","税额(元)","整单备注",
"九记·東門口","20260208000040	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000001043	","麻酱烧饼（总仓）","","盒",800.00,"盒",10.50,8400.00,0,10.50,8400.00,0.00,"",
"九记·東門口","20260208000041	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000024554	","拉丝奶酪饼(总仓)","190g/40包/箱","包",600.00,"包",8.50,5100.00,0,8.50,5100.00,0.00,"",
"九记·東門口","20260208000041	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000024547	","馕饼冷冻生胚(总仓)","480g4个/12盒1/箱","盒",180.00,"盒",6.40,1152.00,0,6.40,1152.00,0.00,"",
"九记·東門口","20260208000044	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（肉类）","总仓（肉类）","2000000002750	","脆肚（总仓）","","斤",400.00,"斤",30.00,12000.00,0,30.00,12000.00,0.00,"",
"九记·東門口","20260208000044	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（肉类）","总仓（肉类）","2000000017310	","中段猪黄喉（总仓）","5斤/包","包",20.00,"包",120.00,2400.00,0,120.00,2400.00,0.00,"",
"九记·東門口","20260208000044	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（肉类）","总仓（肉类）","2000000024400	","原切白千层(总仓)","5斤/10包/箱","包",50.00,"包",175.00,8750.00,0,175.00,8750.00,0.00,"",
"九记·東門口","20260208000045	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（调料、自助小料）","2000000017143	","菌菇酱调味料（总仓）","454g/包","包",120.00,"包",15.50,1860.00,0,15.50,1860.00,0.00,"",
"九记·東門口","20260208000045	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000011073	","海带苗（总仓)","","包",200.00,"包",6.50,1300.00,0,6.50,1300.00,0.00,"",
"九记·東門口","20260208000045	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（调料、自助小料）","2000000017136	","牛肉风味酱（总仓）","454g/包","包",200.00,"包",17.00,3400.00,0,17.00,3400.00,0.00,"",
"九记·東門口","20260208000045	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000023564	","巨无霸蟹柳(总仓)","1kg/10包/箱","包",40.00,"包",37.00,1480.00,0,37.00,1480.00,0.00,"",
"九记·東門口","20260208000045	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（肉类）","2000000022758	","冷鲜鸭肠(总仓)","200g/50包/箱","包",250.00,"包",5.30,1325.00,0,5.30,1325.00,0.00,"",
"九记·東門口","20260208000045	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（肉类）","2000000022741	","古追牛肉滑(总仓)","500g/18包/箱","包",72.00,"包",20.00,1440.00,0,20.00,1440.00,0.00,"",
"九记·東門口","20260208000045	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（肉类）","2000000022734	","黑松露猪肉滑(总仓)","500g/20包/箱","包",60.00,"包",14.00,840.00,0,14.00,840.00,0.00,"",
"九记·東門口","20260208000045	","2026-02-08","2026-02-08","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（肉类）","2000000015934	","古追牛肉丸（总仓）","500g1包","包",400.00,"包",13.00,5200.00,0,13.00,5200.00,0.00,"",
"九记·東門口","20260209000034	","2026-02-09","2026-02-09","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000023144	","奶皮子(总仓)","","张",30.00,"张",25.00,750.00,0,25.00,750.00,0.00,"",
"九记·東門口","20260209000035	","2026-02-09","2026-02-09","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000014081	","黑豆干豆腐（总仓）","","包",300.00,"包",8.00,2400.00,0,8.00,2400.00,0.00,"",
"九记·東門口","20260209000035	","2026-02-09","2026-02-09","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000009568	","冻黑豆腐（总仓）","","袋",80.00,"袋",35.00,2800.00,0,35.00,2800.00,0.00,"",
"九记·東門口","20260209000035	","2026-02-09","2026-02-09","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（其他）","2000000009476	","黑豆花（总仓）","","盒",1280.00,"盒",5.00,6400.00,0,5.00,6400.00,0.00,"",
"九记·東門口","20260209000036	","2026-02-09","2026-02-11","已收货","东门口供货专用仓","总仓供应商（肉类）","总仓（肉类）","2000000011493	","羊霖球（总仓）","","斤",2000.00,"斤",37.00,74000.00,0,37.00,74000.00,0.00,"",
"九记·東門口","20260211000013	","2026-02-11","2026-02-11","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（酒水、饮品）","2000000024264	","原味奶皮子酸奶(总仓)","120g/盒","盒",240.00,"盒",4.20,1008.00,0,4.20,1008.00,0.00,"",
"九记·東門口","20260211000013	","2026-02-11","2026-02-11","已收货","东门口供货专用仓","总仓供应商（其他）","总仓（酒水、饮品）","2000000024271	","抹茶奶皮子酸奶(总仓)","120g/盒","盒",96.00,"盒",3.20,307.20,0,3.20,307.20,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000009445	","牛肋条（总仓）","","斤",9.50,"斤",42.00,399.00,0,42.00,399.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000016481	","猪梅肉卷（总仓）","5斤/卷","斤",10.00,"斤",0.00,0.00,0,0.00,0.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000016276	","羊肉料包(总仓)","1包500g","包",1.00,"包",15.50,15.50,0,15.50,15.50,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000017433	","青椒火锅底料（总仓）","250g/60包/箱","包",3.00,"包",10.00,30.00,0,10.00,30.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000017440	","酸辣金汤调味料(总仓)","250g/60包/箱","包",2.00,"包",7.00,14.00,0,7.00,14.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000017310	","中段猪黄喉（总仓）","5斤/包","包",1.00,"包",140.00,140.00,0,140.00,140.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000024400	","原切白千层(总仓)","5斤/10包/箱","斤",16.00,"包",0.00,0.00,0,0.00,0.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000016771	","肉夹馍饼(总仓)","75g/10个/10包/箱","个",10.00,"个",1.50,15.00,0,1.50,15.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000022758	","冷鲜鸭肠(总仓)","200g/50包/箱","包",7.00,"包",8.00,56.00,0,8.00,56.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000024554	","拉丝奶酪饼(总仓)","190g/40包/箱","包",15.00,"包",0.00,0.00,0,0.00,0.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000016115	","风光里蓝色长粒香(总仓)","","包",5.00,"包",45.00,225.00,0,45.00,225.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000014289	","新一代辣椒节(总仓)","2斤1包","斤",2.00,"斤",34.00,68.00,0,34.00,68.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000011516	","贡菜（总仓）","","斤",1.00,"斤",70.00,70.00,0,70.00,70.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000013756	","驴打滚(红豆味)（总仓）","","袋",18.00,"袋",11.00,198.00,0,11.00,198.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000013145	","枣云甄糕（总仓）","","个",8.00,"个",5.50,44.00,0,5.50,44.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000001449	","午餐肉（总仓）","","包",4.00,"包",75.00,300.00,0,75.00,300.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000011073	","海带苗（总仓)","","包",10.00,"包",11.00,110.00,0,11.00,110.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000014166	","点化鲜腐竹（总仓）","","袋",10.00,"袋",6.00,60.00,0,6.00,60.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000014081	","黑豆干豆腐（总仓）","","包",10.00,"包",10.00,100.00,0,10.00,100.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000009568	","冻黑豆腐（总仓）","","袋",6.00,"袋",42.00,252.00,0,42.00,252.00,0.00,"",
