项　　　  　目,行次,2025-01-01T00:00:00_预算数,本月实际,2025-02-01T00:00:00_预算数,本月实际_1,2025-03-01T00:00:00_预算数,本月实际_2,2025-04-01T00:00:00_预算数,本月实际_3,2025-05-01T00:00:00_预算数,本月实际_4,2025-06-01T00:00:00_预算数,本月实际_5,2025-07-01T00:00:00_预算数,本月实际_6,2025-08-01T00:00:00_预算数,本月实际_7,2025-09-01T00:00:00_预算数,本月实际_8,2025-10-01T00:00:00_预算数,本月实际_9,2025-11-01T00:00:00_预算数,本月实际_10,2025-12-01T00:00:00_预算数,本月实际_11,2025年合计_预算数,本年实际,2025年合计逆向验证_实际数,2025年合计逆向验证_预算数,本月实际_12,检验结果_预算数,本月实际_13
养老,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
医疗,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
工伤,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
失业,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
生育,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
公积金,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
工会经费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
职工教育经费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
福利费,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
职工房租,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
水电物业费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
员工餐,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
节日礼品,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
生日礼品,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
体检,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
其他福利支出,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
招聘费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
办公费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
市内交通费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
差旅费,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
交通费,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
住宿费,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
餐补,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
交通补助,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
通讯补助,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
招待费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
通讯费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
网络费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
修理费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
车辆费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
租赁费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
能源费,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
水费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
电费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
燃气费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
蒸汽费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
物业费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
劳动保护费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
顾问费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
快递费,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
诉讼费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
会员费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
广告宣传费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
会务费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
装修费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
推广费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
展会费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
设计费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
运费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
折旧费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
认证费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
样品费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
劳务费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
销售佣金,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
检测费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
质量赔偿,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
保险费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
清洁费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
低值易耗品,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
物料消耗,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
盘盈盘亏,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
平台服务费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
无形资产摊销,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
研发材料,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
项目名称,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
研发费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
残保金,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
环保费,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
报废损失,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
研发费用,8,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
职工薪酬,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
工资,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
奖金及提成,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
社保,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
养老,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
医疗,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
工伤,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
失业,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
生育,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
公积金,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
工会经费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
职工教育经费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
福利费,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
职工房租,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
水电物业费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
员工餐,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
节日礼品,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
生日礼品,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
体检,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
其他福利支出,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
招聘费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
办公费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
市内交通费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
差旅费,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
交通费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
住宿费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
餐补,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
交通补助,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
通讯补助,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
招待费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
通讯费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
网络费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
修理费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
车辆费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
租赁费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
能源费,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
水费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
电费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
燃气费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
蒸汽费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
物业费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
劳动保护费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
顾问费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
快递费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
诉讼费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
会员费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
广告宣传费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
会务费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
装修费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
推广费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
展会费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
设计费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
运费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
折旧费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
认证费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
样品费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
劳务费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
销售佣金,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
检测费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
质量赔偿,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
保险费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
清洁费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
低值易耗品,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
物料消耗,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
盘盈盘亏,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
平台服务费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
无形资产摊销,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
研发材料,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
项目名称,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
研发费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
残保金,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
环保费,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
报废损失,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
财务费用,9,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
资产减值损失,10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
信用减值损失,11,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
加：公允价值变动收益（损失以“-”号填列）,12,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
投资收益（损失以“-”号填列）,13,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
其中：对联营企业和合营企业的投资收益,14,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
资产处置收益（损失以“-”号填列）,15,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
其他收益,16,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
二、营业利润（亏损以“-”号填列）,17,55240.95959999999,125041.93100000017,18691.50080000001,44654.82620000001,63977.4130000001,23060.531000000003,103124.89840000005,154736.9673999999,91073.12540000009,2600.47620000015,108131.25700000007,115363.7728,140999.74200000003,119697.97360000004,123255.00160000003,137524.30579999991,176349.53480000017,141513.3181999999,109015.73080000003,162078.58759999988,173964.78900000002,91457.34900000007,282366.8666000001,185988.73520000026,1446190.8190000027,1303718.7740000002,,1446190.8190000006,1303718.7740000002,2.0954757928848267e-09,0
加：营业外收入,18,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
减：营业外支出,19,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
三、利润总额（亏损总额以“-”号填列）,20,55240.95959999999,125041.93100000017,18691.50080000001,44654.82620000001,63977.4130000001,23060.531000000003,103124.89840000005,154736.9673999999,91073.12540000009,2600.47620000015,108131.25700000007,115363.7728,140999.74200000003,119697.97360000004,123255.00160000003,137524.30579999991,176349.53480000017,141513.3181999999,109015.73080000003,162078.58759999988,173964.78900000002,91457.34900000007,282366.8666000001,185988.73520000026,1446190.8190000027,1303718.7740000002,,1446190.8190000006,1303718.7740000002,-1.862645149230957e-09,0
减：所得税费用,21,,,,,,,6134.02,,3291.5,,6030.93,,6800.41,,6038.19,,12146.11,,4357.73,,11190.01,,23300.2,,79289.1,0.0,,79289.1,0.0,0.0,#REF!
四、净利润（净亏损以“-”号填列）,22,55240.95959999999,125041.93100000017,18691.50080000001,44654.82620000001,63977.4130000001,23060.531000000003,96990.87840000005,154736.9673999999,87781.62540000009,2600.47620000015,102100.32700000008,115363.7728,134199.33200000002,119697.97360000004,117216.81160000003,137524.30579999991,164203.42480000015,141513.3181999999,104658.00080000004,162078.58759999988,162774.779,91457.34900000007,259066.6666000001,185988.73520000026,1366901.7190000026,1303718.7740000002,,1366901.7190000007,1303718.7740000002,1.862645149230957e-09,0
五、分红,23,,,,1081.0,,,,,,9114.0,,34408.0,,12435.0,,9599.0,,13435.0,,19415.0,,9708.0,,-460.0,0.0,108735.0,,0.0,108735.0,,
六、分红后净利润（净亏损以“-”号填列）,24,55240.95959999999,125041.93100000017,18691.50080000001,43573.82620000001,63977.4130000001,23060.531000000003,96990.87840000005,154736.9673999999,87781.62540000009,-6513.52379999985,102100.32700000008,80955.7728,134199.33200000002,107262.97360000004,117216.81160000003,127925.30579999991,164203.42480000015,128078.31819999989,104658.00080000004,142663.58759999988,162774.779,81749.34900000007,259066.6666000001,186448.73520000026,1366901.7190000007,1194983.7740000002,,1107835.0524000006,1194983.7740000002,,
净利率,,0.1263123187493157,0.21245081251775025,0.06395908699078764,0.1640756270427927,0.11934576661321837,0.07832390248991877,0.15407747744141254,0.21669640571530932,0.1467593359980244,0.007385411700094384,0.15781341938387747,0.19820427684836467,0.17620423722092762,0.18634639091688193,0.1633740960606998,0.1848868401054559,0.15441876760914425,0.16996770529339156,0.15172495813349168,0.2126643390334429,0.1809724250015454,0.16253586468649828,0.20633408028819067,0.19521846773024554,0.1602934647279186,0.1785992877921013,,0.1602934647279186,0.17859928779210119,0.0,0
销售达成率,,,1.345803857845958,,0.9312845813284848,,0.5492313627837915,,1.1343593113328128,,0.5886813718871565,,0.8996492577846898,,0.8433965224305697,,1.036732599798719,,0.7829765846126713,,1.1048811509582859,,0.6255970529388561,,0.7587962410284498,,0.8560176579874862,,,0.8560176579874862,,0
净利达成率,,,2.263572752997582,,2.389044447410022,,0.36044800686142103,,1.595376492641393,,0.029624379682540572,,1.1299060070591147,,0.8919416499032947,,1.1732472835833379,,0.8618170928673575,,1.5486497578883605,,0.5618643721211876,,0.7179184325058984,,0.9537765267818774,,,0.9538,,
编制说明：,"1、营业收入的取数来源为2025年1-12月销售明细表中的金额-2025年1-12月客户计提返利的金额；
2、营业成本的取数来源为2025年1-12月销售明细表中销售结算成本+运费核对表中的运费+销售的原材料的成本；
3、税金及附加核算的是城建税、教育费附加、印花税，城建和教育费附加为当月收入的0.85%，印花税为收入的0.03%；
4、销售费用为分部人员的费用及后台职能协助挂到分部的费用（如有）；
5、所得税与所得税分摊表中数据一致。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
