项　　　  　目,行次,2025-01-01T00:00:00_预算数,本月实际,2025-02-01T00:00:00_预算数,本月实际_1,2025-03-01T00:00:00_预算数,本月实际_2,2025-04-01T00:00:00_预算数,本月实际_3,2025-05-01T00:00:00_预算数,本月实际_4,2025-06-01T00:00:00_预算数,本月实际_5,2025-07-01T00:00:00_预算数,本月实际_6,2025-08-01T00:00:00_预算数,本月实际_7,2025-09-01T00:00:00_预算数,本月实际_8,2025-10-01T00:00:00_预算数,本月实际_9,2025-11-01T00:00:00_预算数,本月实际_10,2025-12-01T00:00:00_预算数,本月实际_11,2025年合计_预算数,本年实际,2025年合计逆向验证_实际数,2025年合计逆向验证_预算数,本月实际_12,检验结果_预算数,本月实际_13
预制菜,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
其他,,313487.84040000004,0.0,208698.0792,0.0,382361.127,0.0,438933.1116,0.0,422714.7546,0.0,452020.293,0.0,531149.598,0.0,504025.2684,8437.8174,759095.9952,13000.0326,490579.6692,4665.8982,627103.701,2750.3586,853627.4634,3892.32,5983796.901000001,32746.426799999997,,5983796.901000001,32746.426799999997,0.0,0
运费,,3664.56,14989.54,6737.79,6695.51,12552.81,8537.28,17003.34,18741.83,15782.29,10572.55,16659.22,15601.52,17611.27,17374.9,16622.12,21789.34,25704.87,20079.27,16077.51,14794.69,20964.31,13822.54,29321.92,13359.84,198702.01,176358.81,,198702.01,176358.81,0.0,0
毛利,3,120183.87959999999,174372.13100000017,76805.6508,84178.10620000001,141153.7830000001,69263.21100000001,173557.74840000004,209734.79739999992,159636.11540000007,75099.88620000012,178289.08700000006,140071.1628,212851.532,174365.23360000004,196827.50160000002,194259.00579999993,278563.56480000017,215122.1181999999,183130.4608,218691.33759999985,251377.189,141391.62900000007,372619.57660000015,229987.27520000027,2344996.0890000006,1926535.8940000006,,2344996.0890000006,1926535.8940000006,0.0,0
毛利率,4,0.2748088486964767,0.29626462591497865,0.2628156697241378,0.3092963680158673,0.2633133422023622,0.23524891879127455,0.2757098451423381,0.29371634660851326,0.26689059573289675,0.21328538912111777,0.2755761052391106,0.24065356789444006,0.2794748772472717,0.27145264874174135,0.27433364476351224,0.2611606256469425,0.261964343494168,0.2583771849419312,0.2654881737225677,0.2869462860684721,0.27948027183868457,0.25127790090381424,0.29677348554395616,0.24140044510608774,0.27499237337576865,0.26392036797831614,,0.27499237337576865,0.26392036797831614,0.0,0
税金及附加,5,1398.12,5591.4,2776.3,2585.52,4789.23,2797.04,6487.22,6783.69,6021.36,3345.04,6355.93,5529.43,6719.16,6102.24,6341.77,7066.38,9807.08,7909.6,6133.99,7240.27,7998.43,5345.56,11187.08,9050.85,76015.67,69347.02,,76015.67,69347.02,0.0,0
销售费用,6,63544.8,43738.8,55337.84999999999,36937.759999999995,72387.14,43405.640000000014,63945.62999999999,48214.140000000014,62541.62999999999,69154.36999999998,63801.899999999994,19177.96,65132.62999999999,48565.020000000004,67230.73,49668.32,92406.94999999998,65699.20000000001,67980.73999999998,49372.47999999998,69413.97,44588.72,79065.62999999999,34947.69000000001,822789.5999999999,553470.1000000001,,822789.5999999999,553470.1000000001,0.0,0
职工薪酬,,34676.270000000004,28154.0,27069.32,21093.0,33053.61,26234.0,41395.1,25460.0,39991.1,49660.0,41251.369999999995,1832.0,42582.1,27939.0,44680.2,29374.0,49856.42,31018.0,44830.21,31498.0,46863.44,23963.0,56515.06,17792.0,502764.2,314017.0,,502764.2,314017.0,0.0,0
工资,,15931.0,15531.0,15931.0,15931.0,15931.0,15931.0,21571.0,13931.0,21571.0,21262.0,21571.0,19931.0,21571.0,21731.0,21571.0,21531.0,21571.0,19931.0,21671.0,20831.0,21721.0,20081.0,21771.0,20931.0,242382.0,227553.0,,242382.0,227553.0,0.0,0
奖金及提成,,18745.27,12623.0,11138.32,5162.0,17122.61,10303.0,19824.1,11529.0,18420.1,28398.0,19680.37,-18099.0,21011.1,6208.0,23109.2,7843.0,28285.42,11087.0,23159.21,10667.0,25142.44,3882.0,34744.06,-3139.0,260382.19999999998,86464.0,,260382.19999999998,86464.0,0.0,0
