epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.974,1.05259,1.28909,1.47539,0.7626,0.57611,0.6596,0.38166,1.45227,1.26952,1.41027,0.00012,0.00012,0.00012
2,538.552,1.01846,1.22869,1.44643,0.79552,0.56415,0.6671,0.39295,1.43599,1.27559,1.40113,9.624e-05,9.624e-05,9.624e-05
3,786.633,1.01627,1.21901,1.44809,0.78774,0.54453,0.66012,0.38521,1.43001,1.27677,1.39569,7.248e-05,7.248e-05,7.248e-05
4,1028.57,1.1401,0.95822,1.34721,0.77644,0.57698,0.66272,0.39,1.43041,1.277,1.41078,4.872e-05,4.872e-05,4.872e-05
5,1270.26,1.11896,0.93477,1.34343,0.80229,0.56571,0.6697,0.39721,1.4185,1.27053,1.41025,2.496e-05,2.496e-05,2.496e-05
