domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
shipment,ShipmentCancelTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentCancelTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
shipment,ShipmentCompleteTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentCompleteTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
shipment,ShipmentConfirmTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentConfirmTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
shipment,ShipmentCreateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentCreateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
shipment,ShipmentNotifyWarehouseTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentNotifyWarehouseTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
shipment,ShipmentQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentQueryTool.java,true,true,true,7,0,LOW,"factoryId 被使用 7 次，无可疑模式"
shipment,ShipmentStatsQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentStatsQueryTool.java,true,true,true,9,0,LOW,"factoryId 被使用 9 次，无可疑模式"
shipment,ShipmentStatusUpdateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentStatusUpdateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
shipment,ShipmentUpdateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentUpdateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
material,SkuAssembleTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/SkuAssembleTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
sop,SkuUpdateComplexityTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/sop/SkuUpdateComplexityTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
sop,SopAnalyzeComplexityTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/sop/SopAnalyzeComplexityTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
sop,SopParseDocumentTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/sop/SopParseDocumentTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
crm,SupplierActiveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierActiveTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
crm,SupplierByCategoryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierByCategoryTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
crm,SupplierCreateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierCreateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
crm,SupplierDeleteTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierDeleteTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
crm,SupplierEvaluateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierEvaluateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
